FullDate,Year,Quarter,Month,MonthName,Day,WeekdayNumber,WeekdayName,DateID
2025-01-01 00:09:11,2025,1,1,January,20,0,Monday,1
2025-01-01 00:10:02,2025,1,2,February,26,2,Wednesday,2
2025-01-01 00:25:04,2025,1,2,February,26,2,Wednesday,3
2025-01-01 00:26:45,2025,2,5,May,17,5,Saturday,4
2025-01-01 00:29:19,2025,2,5,May,17,5,Saturday,5
2025-01-01 00:35:15,2025,2,4,April,2,2,Wednesday,6
2025-01-01 00:35:52,2025,2,4,April,2,2,Wednesday,7
2025-01-01 00:37:24,2025,3,8,August,25,0,Monday,8
2025-01-01 00:39:24,2025,3,8,August,25,0,Monday,9
2025-01-01 00:41:00,2025,3,8,August,25,0,Monday,10
2025-01-01 01:20:08,2025,3,8,August,25,0,Monday,11
2025-01-01 01:20:53,2025,3,8,August,25,0,Monday,12
2025-01-01 04:08:46,2025,1,3,March,27,3,Thursday,13
2025-01-01 05:00:01,2025,1,3,March,27,3,Thursday,14
2025-01-01 05:02:10,2025,1,3,March,27,3,Thursday,15
2025-01-01 05:13:22,2025,1,2,February,11,1,Tuesday,16
2025-01-01 05:15:59,2025,1,2,February,11,1,Tuesday,17
2025-01-01 05:21:25,2025,1,2,February,11,1,Tuesday,18
2025-01-01 05:24:24,2025,1,2,February,11,1,Tuesday,19
2025-01-01 05:25:10,2025,1,2,February,11,1,Tuesday,20
2025-01-01 05:25:37,2025,3,7,July,27,6,Sunday,21
2025-01-01 05:27:46,2025,3,7,July,27,6,Sunday,22
2025-01-01 05:55:12,2025,1,3,March,5,2,Wednesday,23
2025-01-01 05:57:59,2025,2,6,June,27,4,Friday,24
2025-01-01 05:59:07,2025,2,6,June,27,4,Friday,25
2025-01-01 06:00:57,2025,1,1,January,3,4,Friday,26
2025-01-01 06:01:26,2025,1,1,January,20,0,Monday,27
2025-01-01 08:11:09,2025,1,1,January,20,0,Monday,28
2025-01-01 08:13:53,2025,1,1,January,20,0,Monday,29
2025-01-01 08:16:46,2025,1,1,January,20,0,Monday,30
2025-01-01 08:18:10,2025,1,1,January,20,0,Monday,31
2025-01-01 08:18:25,2025,1,2,February,23,6,Sunday,32
2025-01-01 11:21:28,2025,1,2,February,23,6,Sunday,33
2025-01-01 11:22:16,2025,3,8,August,16,5,Saturday,34
2025-01-01 11:23:43,2025,3,8,August,16,5,Saturday,35
2025-01-01 12:08:37,2025,3,8,August,16,5,Saturday,36
2025-01-01 12:11:26,2025,2,4,April,14,0,Monday,37
2025-01-01 12:51:56,2025,2,4,April,14,0,Monday,38
2025-01-01 12:53:10,2025,2,4,April,14,0,Monday,39
2025-01-01 14:01:28,2025,2,4,April,14,0,Monday,40
2025-01-01 14:03:33,2025,2,4,April,14,0,Monday,41
2025-01-01 14:05:31,2025,1,3,March,29,5,Saturday,42
2025-01-01 15:11:19,2025,1,3,March,29,5,Saturday,43
2025-01-01 15:13:15,2025,1,3,March,29,5,Saturday,44
2025-01-01 17:01:33,2025,1,3,March,13,3,Thursday,45
2025-01-01 17:02:32,2025,1,3,March,13,3,Thursday,46
2025-01-01 17:03:18,2025,2,4,April,13,6,Sunday,47
2025-01-01 17:04:11,2025,2,4,April,13,6,Sunday,48
2025-01-01 17:04:38,2025,1,2,February,2,6,Sunday,49
2025-01-01 17:43:06,2025,1,2,February,2,6,Sunday,50
2025-01-01 17:44:11,2025,1,3,March,5,2,Wednesday,51
2025-01-01 17:45:27,2025,1,3,March,5,2,Wednesday,52
2025-01-01 17:59:05,2025,1,1,January,19,6,Sunday,53
2025-01-01 18:02:03,2025,1,1,January,19,6,Sunday,54
2025-01-01 18:16:31,2025,1,1,January,19,6,Sunday,55
2025-01-01 18:17:50,2025,1,1,January,19,6,Sunday,56
2025-01-01 18:18:52,2025,1,1,January,19,6,Sunday,57
2025-01-01 18:20:15,2025,3,7,July,9,2,Wednesday,58
2025-01-01 18:23:07,2025,3,7,July,9,2,Wednesday,59
2025-01-01 20:58:48,2025,3,7,July,9,2,Wednesday,60
2025-01-01 20:59:16,2025,3,7,July,9,2,Wednesday,61
2025-01-01 23:49:54,2025,2,5,May,9,4,Friday,62
2025-01-01 23:52:10,2025,2,5,May,9,4,Friday,63
2025-01-01 23:53:41,2025,2,5,May,12,0,Monday,64
2025-01-01 23:55:35,2025,2,5,May,12,0,Monday,65
2025-01-01 23:56:37,2025,2,5,May,12,0,Monday,66
2025-01-02 00:02:16,2025,2,5,May,12,0,Monday,67
2025-01-02 00:03:24,2025,2,5,May,12,0,Monday,68
