SessionID,UserID,DeviceType,Country,ReferralSource,SessionKey
session_0,user_2223,Desktop,India,Social Media,1
session_1,user_2192,Tablet,Germany,Email,2
session_10,user_2357,Tablet,India,Direct,3
session_100,user_1233,Desktop,USA,Email,4
session_1000,user_1551,Mobile,France,Email,5
session_1001,user_2877,Desktop,Germany,Direct,6
session_1002,user_1834,Mobile,Canada,Direct,7
session_1003,user_1216,Mobile,India,Social Media,8
session_1004,user_1154,Mobile,Canada,Social Media,9
session_1005,user_1252,Tablet,Germany,Google,10
session_1006,user_1471,Mobile,USA,Email,11
session_1007,user_1010,Mobile,France,Social Media,12
session_1008,user_1722,Tablet,Canada,Social Media,13
session_1009,user_1796,Tablet,Australia,Social Media,14
session_101,user_1984,Mobile,France,Direct,15
session_1010,user_2634,Mobile,Canada,Social Media,16
session_1011,user_2682,Desktop,Germany,Direct,17
session_1012,user_2220,Desktop,USA,Social Media,18
session_1013,user_1989,Mobile,France,Google,19
session_1014,user_1188,Desktop,Germany,Social Media,20
session_1015,user_2597,Mobile,Australia,Google,21
session_1016,user_2752,Tablet,France,Direct,22
session_1017,user_2046,Tablet,Canada,Google,23
session_1018,user_2475,Tablet,France,Email,24
session_1019,user_2063,Mobile,India,Social Media,25
session_102,user_1480,Desktop,Australia,Direct,26
session_1020,user_1489,Mobile,Germany,Direct,27
session_1021,user_1740,Tablet,France,Direct,28
session_1022,user_1477,Tablet,USA,Social Media,29
session_1023,user_2410,Desktop,France,Social Media,30
session_1024,user_2179,Tablet,France,Google,31
session_1025,user_2874,Tablet,Australia,Direct,32
session_1026,user_2997,Mobile,USA,Social Media,33
session_1027,user_1571,Mobile,France,Google,34
session_1028,user_1178,Tablet,Australia,Google,35
session_1029,user_1181,Desktop,France,Google,36
session_103,user_2791,Desktop,France,Social Media,37
session_1030,user_2600,Desktop,UK,Direct,38
session_1031,user_2932,Mobile,USA,Direct,39
session_1032,user_1447,Mobile,India,Email,40
session_1033,user_2912,Desktop,India,Direct,41
session_1034,user_1258,Desktop,Canada,Email,42
session_1035,user_1548,Tablet,Australia,Google,43
session_1036,user_2985,Tablet,France,Social Media,44
session_1037,user_2861,Mobile,Germany,Email,45
session_1038,user_1806,Mobile,India,Social Media,46
session_1039,user_1161,Desktop,Germany,Social Media,47
session_104,user_2754,Tablet,UK,Social Media,48
session_1040,user_2629,Mobile,USA,Email,49
session_1041,user_1746,Mobile,USA,Email,50
session_1042,user_1867,Tablet,Australia,Social Media,51
session_1043,user_1466,Tablet,Canada,Email,52
session_1044,user_2118,Tablet,UK,Direct,53
session_1045,user_2691,Mobile,USA,Direct,54
session_1046,user_1525,Mobile,USA,Email,55
session_1047,user_1438,Mobile,France,Email,56
session_1048,user_1331,Desktop,Canada,Direct,57
session_1049,user_1240,Desktop,USA,Google,58
session_105,user_2525,Mobile,Canada,Social Media,59
session_1050,user_2475,Tablet,India,Direct,60
session_1051,user_1382,Mobile,UK,Direct,61
session_1052,user_1710,Mobile,Australia,Email,62
session_1053,user_1443,Desktop,France,Google,63
session_1054,user_2837,Desktop,Canada,Email,64
session_1055,user_1506,Tablet,USA,Google,65
session_1056,user_1488,Mobile,India,Direct,66
