SessionKey,PageID,DateID,EventTimestamp,TimeOnPage_seconds,ItemsInCart,Purchased
1,1,1111,2025-01-20 22:53:34,55,0,0
2,1,3044,2025-02-26 12:57:10,99,0,0
2,2,3045,2025-02-26 12:59:11,121,0,0
3,1,7122,2025-05-17 22:11:37,75,0,0
3,2,7123,2025-05-17 22:13:33,116,0,0
4,1,4834,2025-04-02 11:24:36,36,0,0
4,2,4835,2025-04-02 11:25:41,65,1,0
5,1,12410,2025-08-25 09:34:15,45,0,1
5,2,12411,2025-08-25 09:35:45,90,3,1
5,3,12412,2025-08-25 09:38:16,151,3,1
5,4,12413,2025-08-25 09:40:48,152,3,1
5,5,12414,2025-08-25 09:41:24,36,0,1
6,1,4555,2025-03-27 20:11:23,145,0,0
6,2,4556,2025-03-27 20:13:05,102,5,0
6,3,4557,2025-03-27 20:13:22,17,5,0
7,1,2266,2025-02-11 10:53:09,98,0,1
7,2,2267,2025-02-11 10:53:30,21,3,1
7,3,2268,2025-02-11 10:55:15,105,3,1
7,4,2269,2025-02-11 10:56:50,95,3,1
7,5,2270,2025-02-11 10:58:53,123,0,1
8,1,10878,2025-07-27 22:14:11,56,0,0
8,2,10879,2025-07-27 22:16:56,165,4,0
9,1,3383,2025-03-05 13:49:21,147,0,0
10,1,9253,2025-06-27 11:42:03,78,0,0
10,2,9254,2025-06-27 11:43:33,90,2,0
11,1,125,2025-01-03 08:21:05,138,0,0
12,1,1114,2025-01-20 23:48:43,118,0,1
12,2,1115,2025-01-20 23:49:13,30,5,1
12,3,1116,2025-01-20 23:52:05,172,5,1
12,4,1118,2025-01-20 23:54:35,150,5,1
12,5,1120,2025-01-20 23:56:32,117,0,1
13,1,2838,2025-02-23 05:15:15,51,0,0
13,2,2839,2025-02-23 05:16:59,104,4,0
14,1,11935,2025-08-16 07:49:32,59,0,0
14,2,11936,2025-08-16 07:50:28,56,0,0
14,3,11937,2025-08-16 07:50:49,21,2,0
15,1,5492,2025-04-14 06:47:08,128,0,1
15,2,5493,2025-04-14 06:47:50,42,0,1
15,3,5494,2025-04-14 06:49:32,102,0,1
15,4,5495,2025-04-14 06:51:29,117,2,1
15,5,5496,2025-04-14 06:54:24,175,0,1
16,1,4633,2025-03-29 09:27:40,122,0,0
16,2,4634,2025-03-29 09:29:25,105,3,0
16,3,4635,2025-03-29 09:31:33,128,3,0
17,1,3759,2025-03-13 12:16:14,32,0,0
17,2,3760,2025-03-13 12:18:20,126,3,0
18,1,5426,2025-04-13 01:30:35,56,0,0
18,2,5427,2025-04-13 01:32:24,109,2,0
19,1,1769,2025-02-02 15:50:12,174,0,0
19,2,1770,2025-02-02 15:50:35,23,0,0
20,1,3391,2025-03-05 17:25:17,52,0,0
20,2,3392,2025-03-05 17:27:39,142,5,0
21,1,1014,2025-01-19 08:34:02,111,0,1
21,2,1015,2025-01-19 08:34:30,28,2,1
21,3,1016,2025-01-19 08:36:08,98,2,1
21,4,1017,2025-01-19 08:37:11,63,2,1
21,5,1019,2025-01-19 08:39:23,132,0,1
22,1,9877,2025-07-09 17:47:10,111,0,0
22,2,9878,2025-07-09 17:49:48,158,2,0
22,3,9880,2025-07-09 17:51:18,90,2,0
22,4,9881,2025-07-09 17:52:20,62,2,0
23,1,6636,2025-05-09 06:39:16,141,0,0
23,2,6637,2025-05-09 06:41:49,153,0,0
